component_name,field_number,field_name,field_type,required,component_path
Header,8,BeginString,STRING,Y,Header
Header,9,BodyLength,INT,Y,Header
Header,35,MsgType,STRING,Y,Header
Header,49,SenderCompID,STRING,Y,Header
Header,56,TargetCompID,STRING,Y,Header
Header,115,OnBehalfOfCompID,STRING,N,Header
Header,128,DeliverToCompID,STRING,N,Header
Header,90,SecureDataLen,LENGTH,N,Header
Header,91,SecureData,DATA,N,Header
Header,34,MsgSeqNum,INT,Y,Header
Header,50,SenderSubID,STRING,N,Header
Header,142,SenderLocationID,STRING,N,Header
Header,57,TargetSubID,STRING,N,Header
Header,143,TargetLocationID,STRING,N,Header
Header,116,OnBehalfOfSubID,STRING,N,Header
Header,144,OnBehalfOfLocationID,STRING,N,Header
Header,129,DeliverToSubID,STRING,N,Header
Header,145,DeliverToLocationID,STRING,N,Header
Header,43,PossDupFlag,BOOLEAN,N,Header
Header,97,PossResend,BOOLEAN,N,Header
Header,52,SendingTime,UTCTIMESTAMP,Y,Header
Header,122,OrigSendingTime,UTCTIMESTAMP,N,Header
Header,212,XmlDataLen,LENGTH,N,Header
Header,213,XmlData,DATA,N,Header
Header,347,MessageEncoding,STRING,N,Header
Header,369,LastMsgSeqNumProcessed,INT,N,Header
Header,370,OnBehalfOfSendingTime,UTCTIMESTAMP,N,Header
Trailer,93,SignatureLength,LENGTH,N,Trailer
Trailer,89,Signature,DATA,N,Trailer
Trailer,10,CheckSum,STRING,Y,Trailer
