field_number,field_name,enum,description
334,Adjustment,1,CANCEL
334,Adjustment,2,ERROR
334,Adjustment,3,CORRECTION
4,AdvSide,B,BUY
4,AdvSide,S,SELL
4,AdvSide,T,TRADE
4,AdvSide,X,CROSS
5,AdvTransType,C,CANCEL
5,AdvTransType,N,NEW
5,AdvTransType,R,REPLACE
266,AggregatedBook,N,NO
266,AggregatedBook,Y,YES
209,AllocHandlInst,1,MATCH
209,AllocHandlInst,2,FORWARD
209,AllocHandlInst,3,FORWARD_AND_MATCH
197,AllocLinkType,0,FX_NETTING
197,AllocLinkType,1,FX_SWAP
88,AllocRejCode,0,UNKNOWN_ACCOUNT
88,AllocRejCode,1,INCORRECT_QUANTITY
88,AllocRejCode,2,INCORRECT_AVERAGEG_PRICE
88,AllocRejCode,3,UNKNOWN_EXECUTING_BROKER_MNEMONIC
88,AllocRejCode,4,COMMISSION_DIFFERENCE
88,AllocRejCode,5,UNKNOWN_ORDER_ID
88,AllocRejCode,6,UNKNOWN_LIST_ID
88,AllocRejCode,7,OTHER_SEE_TEXT
87,AllocStatus,0,ACCEPTED
87,AllocStatus,1,BLOCK_LEVEL_REJECT
87,AllocStatus,2,ACCOUNT_LEVEL_REJECT
87,AllocStatus,3,RECEIVED
71,AllocTransType,0,NEW
71,AllocTransType,1,REPLACE
71,AllocTransType,2,CANCEL
71,AllocTransType,3,PRELIMINARY
71,AllocTransType,4,CALCULATED
71,AllocTransType,5,CALCULATED_WITHOUT_PRELIMINARY
419,BasisPxType,2,CLOSING_PRICE_AT_MORNING_SESSION
419,BasisPxType,3,CLOSING_PRICE
419,BasisPxType,4,CURRENT_PRICE
419,BasisPxType,5,SQ
419,BasisPxType,6,VWAP_THROUGH_A_DAY
419,BasisPxType,7,VWAP_THROUGH_A_MORNING_SESSION
419,BasisPxType,8,VWAP_THROUGH_AN_AFTERNOON_SESSION
419,BasisPxType,9,VWAP_THROUGH_A_DAY_EXCEPT
419,BasisPxType,A,VWAP_THROUGH_A_MORNING_SESSION_EXCEPT
419,BasisPxType,B,VWAP_THROUGH_AN_AFTERNOON_SESSION_EXCEPT
419,BasisPxType,C,STRIKE
419,BasisPxType,D,OPEN
419,BasisPxType,Z,OTHERS
219,Benchmark,1,CURVE
219,Benchmark,2,FIVE_YR
219,Benchmark,3,OLD5
219,Benchmark,4,TEN_YR
219,Benchmark,5,OLD10
219,Benchmark,6,THIRTY_YR
219,Benchmark,7,OLD30
219,Benchmark,8,THREE_MOLIBOR
219,Benchmark,9,SIX_MOLIBOR
374,BidRequestTransType,C,CANCEL
374,BidRequestTransType,N,NEW
380,BusinessRejectReason,0,OTHER
380,BusinessRejectReason,1,UNKNOWN_ID
380,BusinessRejectReason,2,UNKNOWN_SECURITY
380,BusinessRejectReason,3,UNSUPPORTED_MESSAGE_TYPE
380,BusinessRejectReason,4,APPLICATION_NOT_AVAILABLE
380,BusinessRejectReason,5,CONDITIONALLY_REQUIRED_FIELD_MISSING
13,CommType,1,PER_UNIT
13,CommType,2,PERCENT
13,CommType,3,ABSOLUTE
292,CorporateAction,A,EX_DIVIDEND
292,CorporateAction,B,EX_DISTRIBUTION
292,CorporateAction,C,EX_RIGHTS
292,CorporateAction,D,NEW
292,CorporateAction,E,EX_INTEREST
203,CoveredOrUncovered,0,COVERED
203,CoveredOrUncovered,1,UNCOVERED
204,CustomerOrFirm,0,CUSTOMER
204,CustomerOrFirm,1,FIRM
102,CxlRejReason,0,TOO_LATE_TO_CANCEL
102,CxlRejReason,1,UNKNOWN_ORDER
102,CxlRejReason,2,BROKER_CREDIT
102,CxlRejReason,3,ORDER_ALREADY_IN_PENDING_STATUS
434,CxlRejResponseTo,1,ORDER_CANCEL_REQUEST
434,CxlRejResponseTo,2,ORDER_CANCEL
127,DKReason,A,UNKNOWN_SYMBOL
127,DKReason,B,WRONG_SIDE
127,DKReason,C,QUANTITY_EXCEEDS_ORDER
127,DKReason,D,NO_MATCHING_ORDER
127,DKReason,E,PRICE_EXCEEDS_LIMIT
127,DKReason,Z,OTHER
285,DeleteReason,0,CANCELLATION
285,DeleteReason,1,ERROR
388,DiscretionInst,0,RELATED_TO_DISPLAYED_PRICE
388,DiscretionInst,1,RELATED_TO_MARKET_PRICE
388,DiscretionInst,2,RELATED_TO_PRIMARY_PRICE
388,DiscretionInst,3,RELATED_TO_LOCAL_PRIMARY_PRICE
388,DiscretionInst,4,RELATED_TO_MIDPOINT_PRICE
388,DiscretionInst,5,RELATED_TO_LAST_TRADE_PRICE
329,DueToRelated,N,NO
329,DueToRelated,Y,YES
94,EmailType,0,NEW
94,EmailType,1,REPLY
94,EmailType,2,ADMIN_REPLY
98,EncryptMethod,0,NONE
98,EncryptMethod,1,PKCS
98,EncryptMethod,2,DES
98,EncryptMethod,3,PKCSDES
98,EncryptMethod,4,PGPDES
98,EncryptMethod,5,PGPDESMD5
98,EncryptMethod,6,PEM
411,ExchangeForPhysical,N,NO
411,ExchangeForPhysical,Y,YES
18,ExecInst,0,STAY_ON_OFFER_SIDE
18,ExecInst,1,NOT_HELD
18,ExecInst,2,WORK
18,ExecInst,3,GO_ALONG
18,ExecInst,4,OVER_THE_DAY
18,ExecInst,5,HELD
18,ExecInst,6,PARTICIPATE_DO_NOT_INITIATE
18,ExecInst,7,STRICT_SCALE
18,ExecInst,8,TRY_TO_SCALE
18,ExecInst,9,STAY_ON_BID_SIDE
18,ExecInst,A,NO_CROSS
18,ExecInst,B,OK_TO_CROSS
18,ExecInst,C,CALL_FIRST
18,ExecInst,D,PERCENT_OF_VOLUME
18,ExecInst,E,DO_NOT_INCREASE
18,ExecInst,F,DO_NOT_REDUCE
18,ExecInst,G,ALL_OR_NONE
18,ExecInst,I,INSTITUTIONS_ONLY
18,ExecInst,L,LAST_PEG
18,ExecInst,M,MID_PRICE_PEG
18,ExecInst,N,NON_NEGOTIABLE
18,ExecInst,O,OPENING_PEG
18,ExecInst,P,MARKET_PEG
18,ExecInst,R,PRIMARY_PEG
18,ExecInst,S,SUSPEND
18,ExecInst,T,FIXED_PEG_TO_LOCAL_BEST_BID_OR_OFFER_AT_TIME_OF_ORDER
18,ExecInst,U,CUSTOMER_DISPLAY_INSTRUCTION
18,ExecInst,V,NETTING
18,ExecInst,W,PEG_TO_VWAP
378,ExecRestatementReason,0,GT_CORPORATE_ACTION
378,ExecRestatementReason,1,GT_RENEWAL
378,ExecRestatementReason,2,VERBAL_CHANGE
378,ExecRestatementReason,3,REPRICING_OF_ORDER
378,ExecRestatementReason,4,BROKER_OPTION
378,ExecRestatementReason,5,PARTIAL_DECLINE_OF_ORDER_QTY
20,ExecTransType,0,NEW
20,ExecTransType,1,CANCEL
20,ExecTransType,2,CORRECT
20,ExecTransType,3,STATUS
150,ExecType,0,NEW
150,ExecType,1,PARTIAL_FILL
150,ExecType,2,FILL
150,ExecType,3,DONE_FOR_DAY
150,ExecType,4,CANCELED
150,ExecType,5,REPLACED
150,ExecType,6,PENDING_CANCEL
150,ExecType,7,STOPPED
150,ExecType,8,REJECTED
150,ExecType,9,SUSPENDED
150,ExecType,A,PENDING_NEW
150,ExecType,B,CALCULATED
150,ExecType,C,EXPIRED
150,ExecType,D,RESTATED
150,ExecType,E,PENDING_REPLACE
291,FinancialStatus,1,BANKRUPT
121,ForexReq,N,NO
121,ForexReq,Y,YES
427,GTBookingInst,0,BOOK_OUT_ALL_TRADES_ON_DAY_OF_EXECUTION
427,GTBookingInst,1,ACCUMULATE_UNTIL_FILLED_OR_EXPIRED
427,GTBookingInst,2,ACCUMULATE_UNTIL_VERBALLLY_NOTIFIED_OTHERWISE
123,GapFillFlag,N,NO
123,GapFillFlag,Y,YES
327,HaltReasonChar,D,NEWS_DISSEMINATION
327,HaltReasonChar,E,ORDER_INFLUX
327,HaltReasonChar,I,ORDER_IMBALANCE
327,HaltReasonChar,M,ADDITIONAL_INFORMATION
327,HaltReasonChar,P,NEWS_PENDING
327,HaltReasonChar,X,EQUIPMENT_CHANGEOVER
21,HandlInst,1,AUTOMATED_EXECUTION_NO_INTERVENTION
21,HandlInst,2,AUTOMATED_EXECUTION_INTERVENTION_OK
21,HandlInst,3,MANUAL_ORDER
22,IDSource,1,CUSIP
22,IDSource,2,SEDOL
22,IDSource,3,QUIK
22,IDSource,4,ISIN_NUMBER
22,IDSource,5,RIC_CODE
22,IDSource,6,ISO_CURRENCY_CODE
22,IDSource,7,ISO_COUNTRY_CODE
22,IDSource,8,EXCHANGE_SYMBOL
22,IDSource,9,CONSOLIDATED_TAPE_ASSOCIATION
130,IOINaturalFlag,N,NO
130,IOINaturalFlag,Y,YES
25,IOIQltyInd,H,HIGH
25,IOIQltyInd,L,LOW
25,IOIQltyInd,M,MEDIUM
104,IOIQualifier,A,ALL_OR_NONE
104,IOIQualifier,C,AT_THE_CLOSE
104,IOIQualifier,I,IN_TOUCH_WITH
104,IOIQualifier,L,LIMIT
104,IOIQualifier,M,MORE_BEHIND
104,IOIQualifier,O,AT_THE_OPEN
104,IOIQualifier,P,TAKING_A_POSITION
104,IOIQualifier,Q,AT_THE_MARKET
104,IOIQualifier,R,READY_TO_TRADE
104,IOIQualifier,S,PORTFOLIO_SHOWN
