message_name,msgtype,msgcat,field_number,field_name,field_type,required,position
Advertisement,7,app,8,BeginString,STRING,Y,1
Advertisement,7,app,9,BodyLength,INT,Y,2
Advertisement,7,app,35,MsgType,STRING,Y,3
Advertisement,7,app,49,SenderCompID,STRING,Y,4
Advertisement,7,app,56,TargetCompID,STRING,Y,5
Advertisement,7,app,115,OnBehalfOfCompID,STRING,N,6
Advertisement,7,app,128,DeliverToCompID,STRING,N,7
Advertisement,7,app,90,SecureDataLen,LENGTH,N,8
Advertisement,7,app,91,SecureData,DATA,N,9
Advertisement,7,app,34,MsgSeqNum,INT,Y,10
Advertisement,7,app,50,SenderSubID,STRING,N,11
Advertisement,7,app,142,SenderLocationID,STRING,N,12
Advertisement,7,app,57,TargetSubID,STRING,N,13
Advertisement,7,app,143,TargetLocationID,STRING,N,14
Advertisement,7,app,116,OnBehalfOfSubID,STRING,N,15
Advertisement,7,app,144,OnBehalfOfLocationID,STRING,N,16
Advertisement,7,app,129,DeliverToSubID,STRING,N,17
Advertisement,7,app,145,DeliverToLocationID,STRING,N,18
Advertisement,7,app,43,PossDupFlag,BOOLEAN,N,19
Advertisement,7,app,97,PossResend,BOOLEAN,N,20
Advertisement,7,app,52,SendingTime,UTCTIMESTAMP,Y,21
Advertisement,7,app,122,OrigSendingTime,UTCTIMESTAMP,N,22
Advertisement,7,app,212,XmlDataLen,LENGTH,N,23
Advertisement,7,app,213,XmlData,DATA,N,24
Advertisement,7,app,347,MessageEncoding,STRING,N,25
Advertisement,7,app,369,LastMsgSeqNumProcessed,INT,N,26
Advertisement,7,app,370,OnBehalfOfSendingTime,UTCTIMESTAMP,N,27
Advertisement,7,app,2,AdvId,STRING,Y,28
Advertisement,7,app,5,AdvTransType,STRING,Y,29
Advertisement,7,app,3,AdvRefID,STRING,N,30
Advertisement,7,app,55,Symbol,STRING,Y,31
Advertisement,7,app,65,SymbolSfx,STRING,N,32
Advertisement,7,app,48,SecurityID,STRING,N,33
Advertisement,7,app,22,IDSource,STRING,N,34
Advertisement,7,app,167,SecurityType,STRING,N,35
Advertisement,7,app,200,MaturityMonthYear,MONTHYEAR,N,36
Advertisement,7,app,205,MaturityDay,DAYOFMONTH,N,37
Advertisement,7,app,201,PutOrCall,INT,N,38
Advertisement,7,app,202,StrikePrice,PRICE,N,39
Advertisement,7,app,206,OptAttribute,CHAR,N,40
Advertisement,7,app,231,ContractMultiplier,FLOAT,N,41
Advertisement,7,app,223,CouponRate,FLOAT,N,42
Advertisement,7,app,207,SecurityExchange,EXCHANGE,N,43
Advertisement,7,app,106,Issuer,STRING,N,44
Advertisement,7,app,348,EncodedIssuerLen,LENGTH,N,45
Advertisement,7,app,349,EncodedIssuer,DATA,N,46
Advertisement,7,app,107,SecurityDesc,STRING,N,47
Advertisement,7,app,350,EncodedSecurityDescLen,LENGTH,N,48
Advertisement,7,app,351,EncodedSecurityDesc,DATA,N,49
Advertisement,7,app,4,AdvSide,CHAR,Y,50
Advertisement,7,app,53,Shares,QTY,Y,51
Advertisement,7,app,44,Price,PRICE,N,52
Advertisement,7,app,15,Currency,CURRENCY,N,53
Advertisement,7,app,75,TradeDate,LOCALMKTDATE,N,54
Advertisement,7,app,60,TransactTime,UTCTIMESTAMP,N,55
Advertisement,7,app,58,Text,STRING,N,56
Advertisement,7,app,354,EncodedTextLen,LENGTH,N,57
Advertisement,7,app,355,EncodedText,DATA,N,58
Advertisement,7,app,149,URLLink,STRING,N,59
Advertisement,7,app,30,LastMkt,EXCHANGE,N,60
Advertisement,7,app,336,TradingSessionID,STRING,N,61
Advertisement,7,app,93,SignatureLength,LENGTH,N,62
Advertisement,7,app,89,Signature,DATA,N,63
Advertisement,7,app,10,CheckSum,STRING,Y,64
Allocation,J,app,8,BeginString,STRING,Y,1
Allocation,J,app,9,BodyLength,INT,Y,2
Allocation,J,app,35,MsgType,STRING,Y,3
Allocation,J,app,49,SenderCompID,STRING,Y,4
Allocation,J,app,56,TargetCompID,STRING,Y,5
Allocation,J,app,115,OnBehalfOfCompID,STRING,N,6
Allocation,J,app,128,DeliverToCompID,STRING,N,7
Allocation,J,app,90,SecureDataLen,LENGTH,N,8
Allocation,J,app,91,SecureData,DATA,N,9
Allocation,J,app,34,MsgSeqNum,INT,Y,10
Allocation,J,app,50,SenderSubID,STRING,N,11
Allocation,J,app,142,SenderLocationID,STRING,N,12
Allocation,J,app,57,TargetSubID,STRING,N,13
Allocation,J,app,143,TargetLocationID,STRING,N,14
Allocation,J,app,116,OnBehalfOfSubID,STRING,N,15
Allocation,J,app,144,OnBehalfOfLocationID,STRING,N,16
Allocation,J,app,129,DeliverToSubID,STRING,N,17
Allocation,J,app,145,DeliverToLocationID,STRING,N,18
