component_name,field_number,field_name,field_type,required,component_path
AdditionalTermBondRefGrp,40000,NoAdditionalTermBondRefs,GROUP,N,AdditionalTermBondRefGrp
AdditionalTermBondRefGrp,40001,AdditionalTermBondSecurityID,STRING,N,AdditionalTermBondRefGrp/NoAdditionalTermBondRefs
AdditionalTermBondRefGrp,40002,AdditionalTermBondSecurityIDSource,STRING,N,AdditionalTermBondRefGrp/NoAdditionalTermBondRefs
AdditionalTermBondRefGrp,40003,AdditionalTermBondDesc,STRING,N,AdditionalTermBondRefGrp/NoAdditionalTermBondRefs
AdditionalTermBondRefGrp,40004,EncodedAdditionalTermBondDescLen,LENGTH,N,AdditionalTermBondRefGrp/NoAdditionalTermBondRefs
AdditionalTermBondRefGrp,40005,EncodedAdditionalTermBondDesc,DATA,N,AdditionalTermBondRefGrp/NoAdditionalTermBondRefs
AdditionalTermBondRefGrp,40006,AdditionalTermBondCurrency,CURRENCY,N,AdditionalTermBondRefGrp/NoAdditionalTermBondRefs
AdditionalTermBondRefGrp,40007,AdditionalTermBondIssuer,STRING,N,AdditionalTermBondRefGrp/NoAdditionalTermBondRefs
AdditionalTermBondRefGrp,40008,EncodedAdditionalTermBondIssuerLen,LENGTH,N,AdditionalTermBondRefGrp/NoAdditionalTermBondRefs
AdditionalTermBondRefGrp,40009,EncodedAdditionalTermBondIssuer,DATA,N,AdditionalTermBondRefGrp/NoAdditionalTermBondRefs
AdditionalTermBondRefGrp,40010,AdditionalTermBondSeniority,STRING,N,AdditionalTermBondRefGrp/NoAdditionalTermBondRefs
AdditionalTermBondRefGrp,40011,AdditionalTermBondCouponType,INT,N,AdditionalTermBondRefGrp/NoAdditionalTermBondRefs
AdditionalTermBondRefGrp,40012,AdditionalTermBondCouponRate,PERCENTAGE,N,AdditionalTermBondRefGrp/NoAdditionalTermBondRefs
AdditionalTermBondRefGrp,40013,AdditionalTermBondMaturityDate,LOCALMKTDATE,N,AdditionalTermBondRefGrp/NoAdditionalTermBondRefs
AdditionalTermBondRefGrp,40014,AdditionalTermBondParValue,AMT,N,AdditionalTermBondRefGrp/NoAdditionalTermBondRefs
AdditionalTermBondRefGrp,40015,AdditionalTermBondCurrentTotalIssuedAmount,AMT,N,AdditionalTermBondRefGrp/NoAdditionalTermBondRefs
AdditionalTermBondRefGrp,40016,AdditionalTermBondCouponFrequencyPeriod,INT,N,AdditionalTermBondRefGrp/NoAdditionalTermBondRefs
AdditionalTermBondRefGrp,40017,AdditionalTermBondCouponFrequencyUnit,STRING,N,AdditionalTermBondRefGrp/NoAdditionalTermBondRefs
AdditionalTermBondRefGrp,40018,AdditionalTermBondDayCount,INT,N,AdditionalTermBondRefGrp/NoAdditionalTermBondRefs
AdditionalTermGrp,40019,NoAdditionalTerms,GROUP,N,AdditionalTermGrp
AdditionalTermGrp,40020,AdditionalTermConditionPrecedentBondIndicator,BOOLEAN,N,AdditionalTermGrp/NoAdditionalTerms
AdditionalTermGrp,40021,AdditionalTermDiscrepancyClauseIndicator,BOOLEAN,N,AdditionalTermGrp/NoAdditionalTerms
AffectedMarketSegmentGrp,1791,NoAffectedMarketSegments,GROUP,N,AffectedMarketSegmentGrp
AffectedMarketSegmentGrp,1792,AffectedMarketSegmentID,STRING,N,AffectedMarketSegmentGrp/NoAffectedMarketSegments
AffectedOrdGrp,534,NoAffectedOrders,GROUP,N,AffectedOrdGrp
AffectedOrdGrp,1824,AffectedOrigClOrdID,STRING,N,AffectedOrdGrp/NoAffectedOrders
AffectedOrdGrp,535,AffectedOrderID,STRING,N,AffectedOrdGrp/NoAffectedOrders
AffectedOrdGrp,536,AffectedSecondaryOrderID,STRING,N,AffectedOrdGrp/NoAffectedOrders
AllocAckGrp,78,NoAllocs,GROUP,N,AllocAckGrp
AllocAckGrp,79,AllocAccount,STRING,N,AllocAckGrp/NoAllocs
AllocAckGrp,661,AllocAcctIDSource,INT,N,AllocAckGrp/NoAllocs
AllocAckGrp,366,AllocPrice,PRICE,N,AllocAckGrp/NoAllocs
AllocAckGrp,1047,AllocPositionEffect,CHAR,N,AllocAckGrp/NoAllocs
AllocAckGrp,467,IndividualAllocID,STRING,N,AllocAckGrp/NoAllocs
AllocAckGrp,1593,ParentAllocID,STRING,N,AllocAckGrp/NoAllocs
AllocAckGrp,1729,FirmMnemonic,STRING,N,AllocAckGrp/NoAllocs
AllocAckGrp,1832,ClearedIndicator,INT,N,AllocAckGrp/NoAllocs
AllocAckGrp,2727,AllocLegRefID,STRING,N,AllocAckGrp/NoAllocs
AllocAckGrp,776,IndividualAllocRejCode,INT,N,AllocAckGrp/NoAllocs
AllocAckGrp,209,AllocHandlInst,INT,N,AllocAckGrp/NoAllocs
AllocAckGrp,161,AllocText,STRING,N,AllocAckGrp/NoAllocs
AllocAckGrp,360,EncodedAllocTextLen,LENGTH,N,AllocAckGrp/NoAllocs
AllocAckGrp,361,EncodedAllocText,DATA,N,AllocAckGrp/NoAllocs
AllocAckGrp,1732,FirmAllocText,STRING,N,AllocAckGrp/NoAllocs
AllocAckGrp,1733,EncodedFirmAllocTextLen,LENGTH,N,AllocAckGrp/NoAllocs
AllocAckGrp,1734,EncodedFirmAllocText,DATA,N,AllocAckGrp/NoAllocs
AllocAckGrp,989,SecondaryIndividualAllocID,STRING,N,AllocAckGrp/NoAllocs
AllocAckGrp,993,AllocCustomerCapacity,STRING,N,AllocAckGrp/NoAllocs
AllocAckGrp,992,IndividualAllocType,INT,N,AllocAckGrp/NoAllocs
AllocAckGrp,80,AllocQty,QTY,N,AllocAckGrp/NoAllocs
AllocAckGrp,2515,AllocCalculatedCcyQty,QTY,N,AllocAckGrp/NoAllocs
AllocAckGrp,1752,CustodialLotID,STRING,N,AllocAckGrp/NoAllocs
AllocAckGrp,1753,VersusPurchaseDate,LOCALMKTDATE,N,AllocAckGrp/NoAllocs
AllocAckGrp,1754,VersusPurchasePrice,PRICE,N,AllocAckGrp/NoAllocs
AllocAckGrp,1755,CurrentCostBasis,AMT,N,AllocAckGrp/NoAllocs
AllocAckGrp,2770,AllocAvgPxGroupID,STRING,N,AllocAckGrp/NoAllocs
AllocAckGrp,2769,AllocAvgPxIndicator,INT,N,AllocAckGrp/NoAllocs
AllocCommissionDataGrp,2653,NoAllocCommissions,GROUP,N,AllocCommissionDataGrp
AllocCommissionDataGrp,2654,AllocCommissionAmount,AMT,N,AllocCommissionDataGrp/NoAllocCommissions
AllocCommissionDataGrp,2655,AllocCommissionAmountType,INT,N,AllocCommissionDataGrp/NoAllocCommissions
AllocCommissionDataGrp,2726,AllocCommissionAmountSubType,INT,N,AllocCommissionDataGrp/NoAllocCommissions
AllocCommissionDataGrp,2656,AllocCommissionBasis,CHAR,N,AllocCommissionDataGrp/NoAllocCommissions
AllocCommissionDataGrp,2657,AllocCommissionCurrency,CURRENCY,N,AllocCommissionDataGrp/NoAllocCommissions
AllocCommissionDataGrp,2925,AllocCommissionCurrencyCodeSource,STRING,N,AllocCommissionDataGrp/NoAllocCommissions
AllocCommissionDataGrp,2658,AllocCommissionUnitOfMeasure,STRING,N,AllocCommissionDataGrp/NoAllocCommissions
AllocCommissionDataGrp,2659,AllocCommissionUnitOfMeasureCurrency,CURRENCY,N,AllocCommissionDataGrp/NoAllocCommissions
AllocCommissionDataGrp,2926,AllocCommissionUnitOfMeasureCurrencyCodeSource,STRING,N,AllocCommissionDataGrp/NoAllocCommissions
AllocCommissionDataGrp,2660,AllocCommissionRate,FLOAT,N,AllocCommissionDataGrp/NoAllocCommissions
AllocCommissionDataGrp,2661,AllocCommissionSharedIndicator,BOOLEAN,N,AllocCommissionDataGrp/NoAllocCommissions
AllocCommissionDataGrp,2662,AllocCommissionAmountShared,AMT,N,AllocCommissionDataGrp/NoAllocCommissions
AllocCommissionDataGrp,2663,AllocCommissionLegRefID,STRING,N,AllocCommissionDataGrp/NoAllocCommissions
AllocCommissionDataGrp,2664,AllocCommissionDesc,STRING,N,AllocCommissionDataGrp/NoAllocCommissions
AllocCommissionDataGrp,2665,EncodedAllocCommissionDescLen,LENGTH,N,AllocCommissionDataGrp/NoAllocCommissions
AllocCommissionDataGrp,2666,EncodedAllocCommissionDesc,DATA,N,AllocCommissionDataGrp/NoAllocCommissions
AllocGrp,78,NoAllocs,GROUP,N,AllocGrp
AllocGrp,79,AllocAccount,STRING,N,AllocGrp/NoAllocs
AllocGrp,661,AllocAcctIDSource,INT,N,AllocGrp/NoAllocs
AllocGrp,573,MatchStatus,CHAR,N,AllocGrp/NoAllocs
AllocGrp,366,AllocPrice,PRICE,N,AllocGrp/NoAllocs
AllocGrp,80,AllocQty,QTY,N,AllocGrp/NoAllocs
AllocGrp,2515,AllocCalculatedCcyQty,QTY,N,AllocGrp/NoAllocs
AllocGrp,1752,CustodialLotID,STRING,N,AllocGrp/NoAllocs
AllocGrp,1753,VersusPurchaseDate,LOCALMKTDATE,N,AllocGrp/NoAllocs
AllocGrp,1754,VersusPurchasePrice,PRICE,N,AllocGrp/NoAllocs
AllocGrp,1755,CurrentCostBasis,AMT,N,AllocGrp/NoAllocs
AllocGrp,467,IndividualAllocID,STRING,N,AllocGrp/NoAllocs
AllocGrp,1729,FirmMnemonic,STRING,N,AllocGrp/NoAllocs
AllocGrp,1593,ParentAllocID,STRING,N,AllocGrp/NoAllocs
AllocGrp,2727,AllocLegRefID,STRING,N,AllocGrp/NoAllocs
AllocGrp,81,ProcessCode,CHAR,N,AllocGrp/NoAllocs
AllocGrp,989,SecondaryIndividualAllocID,STRING,N,AllocGrp/NoAllocs
AllocGrp,1002,AllocMethod,INT,N,AllocGrp/NoAllocs
AllocGrp,1735,AllocationRollupInstruction,INT,N,AllocGrp/NoAllocs
AllocGrp,993,AllocCustomerCapacity,STRING,N,AllocGrp/NoAllocs
AllocGrp,1047,AllocPositionEffect,CHAR,N,AllocGrp/NoAllocs
AllocGrp,992,IndividualAllocType,INT,N,AllocGrp/NoAllocs
AllocGrp,208,NotifyBrokerOfCredit,BOOLEAN,N,AllocGrp/NoAllocs
AllocGrp,209,AllocHandlInst,INT,N,AllocGrp/NoAllocs
AllocGrp,161,AllocText,STRING,N,AllocGrp/NoAllocs
