field_number,field_name,enum,description
581,AccountType,1,CARRIED_CUSTOMER_SIDE
581,AccountType,2,CARRIED_NON_CUSTOMER_SIDE
581,AccountType,3,HOUSE_TRADER
581,AccountType,4,FLOOR_TRADER
581,AccountType,6,CARRIED_NON_CUSTOMER_SIDE_CROSS_MARGINED
581,AccountType,7,HOUSE_TRADER_CROSS_MARGINED
581,AccountType,8,JOINT_BACK_OFFICE_ACCOUNT
581,AccountType,9,EQUITIES_SPECIALIST
581,AccountType,10,OPTIONS_MARKET_MAKER
581,AccountType,11,OPTIONS_FIRM_ACCOUNT
581,AccountType,12,ACCOUNT_CUSTOMER_NON_CUSTOMER_ORDERS
581,AccountType,13,ACCOUNT_ORDERS_MULTIPLE_CUSTOMERS
660,AcctIDSource,1,BIC
660,AcctIDSource,2,SID_CODE
660,AcctIDSource,3,TFM
660,AcctIDSource,4,OMGEO
660,AcctIDSource,5,DTCC_CODE
660,AcctIDSource,6,SPSAID
660,AcctIDSource,99,OTHER
334,Adjustment,1,CANCEL
334,Adjustment,2,ERROR
334,Adjustment,3,CORRECTION
718,AdjustmentType,0,PROCESS_REQUEST_AS_MARGIN_DISPOSITION
718,AdjustmentType,1,DELTA_PLUS
718,AdjustmentType,2,DELTA_MINUS
718,AdjustmentType,3,FINAL
718,AdjustmentType,4,CUSTOMER_SPECIFIC_POSITION
4,AdvSide,B,BUY
4,AdvSide,S,SELL
4,AdvSide,T,TRADE
4,AdvSide,X,CROSS
5,AdvTransType,N,NEW
5,AdvTransType,C,CANCEL
5,AdvTransType,R,REPLACE
940,AffirmStatus,1,RECEIVED
940,AffirmStatus,2,CONFIRM_REJECTED
940,AffirmStatus,3,AFFIRMED
266,AggregatedBook,Y,YES
266,AggregatedBook,N,NO
1057,AggressorIndicator,Y,YES
1057,AggressorIndicator,N,NO
2667,AlgorithmicTradeIndicator,0,NON_ALGORITHMIC_TRADE
2667,AlgorithmicTradeIndicator,1,ALGORITHMIC_TRADE
798,AllocAccountType,1,CARRIED_CUSTOMER_SIDE
798,AllocAccountType,2,CARRIED_NON_CUSTOMER_SIDE
798,AllocAccountType,3,HOUSE_TRADER
798,AllocAccountType,4,FLOOR_TRADER
798,AllocAccountType,6,CARRIED_NON_CUSTOMER_SIDE_CROSS_MARGINED
798,AllocAccountType,7,HOUSE_TRADER_CROSS_MARGINED
798,AllocAccountType,8,JOINT_BACK_OFFICE_ACCOUNT
796,AllocCancReplaceReason,1,ORIGINAL_DETAILS_INCOMPLETE
796,AllocCancReplaceReason,2,CHANGE_IN_UNDERLYING_ORDER_DETAILS
796,AllocCancReplaceReason,3,CANCELLED_BY_GIVEUP_FIRM
796,AllocCancReplaceReason,99,OTHER
2767,AllocGroupStatus,0,ADDED
2767,AllocGroupStatus,1,CANCELED
2767,AllocGroupStatus,2,REPLACED
2767,AllocGroupStatus,3,CHANGED
2767,AllocGroupStatus,4,PENDING
209,AllocHandlInst,1,MATCH
209,AllocHandlInst,2,FORWARD
209,AllocHandlInst,3,FORWARD_AND_MATCH
209,AllocHandlInst,4,AUTO_CLAIM_GIVE_UP
808,AllocIntermedReqType,1,PENDING_ACCEPT
808,AllocIntermedReqType,2,PENDING_RELEASE
808,AllocIntermedReqType,3,PENDING_REVERSAL
808,AllocIntermedReqType,4,ACCEPT
808,AllocIntermedReqType,5,BLOCK_LEVEL_REJECT
808,AllocIntermedReqType,6,ACCOUNT_LEVEL_REJECT
197,AllocLinkType,0,FX_NETTING
197,AllocLinkType,1,FX_SWAP
1002,AllocMethod,1,AUTOMATIC
1002,AllocMethod,2,GUARANTOR
1002,AllocMethod,3,MANUAL
1002,AllocMethod,4,BROKER_ASSIGNED
857,AllocNoOrdersType,0,NOT_SPECIFIED
857,AllocNoOrdersType,1,EXPLICIT_LIST_PROVIDED
1047,AllocPositionEffect,O,OPEN
1047,AllocPositionEffect,C,CLOSE
1047,AllocPositionEffect,R,ROLLED
1047,AllocPositionEffect,F,FIFO
88,AllocRejCode,0,UNKNOWN_ACCOUNT
88,AllocRejCode,1,INCORRECT_QUANTITY
88,AllocRejCode,2,INCORRECT_AVERAGE_PRICE
88,AllocRejCode,3,UNKNOWN_EXECUTING_BROKER_MNEMONIC
88,AllocRejCode,4,COMMISSION_DIFFERENCE
88,AllocRejCode,5,UNKNOWN_ORDER_ID
88,AllocRejCode,6,UNKNOWN_LIST_ID
88,AllocRejCode,7,OTHER_SEE_TEXT
88,AllocRejCode,8,INCORRECT_ALLOCATED_QUANTITY
88,AllocRejCode,9,CALCULATION_DIFFERENCE
88,AllocRejCode,10,UNKNOWN_OR_STALE_EXEC_ID
88,AllocRejCode,11,MISMATCHED_DATA
88,AllocRejCode,12,UNKNOWN_CL_ORD_ID
88,AllocRejCode,13,WAREHOUSE_REQUEST_REJECTED
88,AllocRejCode,14,DUPLICATE_OR_MISSING_INDIVIDUAL_ALLOC_ID
88,AllocRejCode,15,TRADE_NOT_RECOGNIZED
88,AllocRejCode,16,DUPLICATE_TRADE
88,AllocRejCode,17,INCORRECT_OR_MISSING_INSTRUMENT
88,AllocRejCode,18,INCORRECT_OR_MISSING_SETTL_DATE
88,AllocRejCode,19,INCORRECT_OR_MISSING_FUND_ID_OR_FUND_NAME
88,AllocRejCode,20,INCORRECT_OR_MISSING_SETTL_INSTRUCTIONS
88,AllocRejCode,21,INCORRECT_OR_MISSING_FEES
88,AllocRejCode,22,INCORRECT_OR_MISSING_TAX
88,AllocRejCode,23,UNKNOWN_OR_MISSING_PARTY
88,AllocRejCode,24,INCORRECT_OR_MISSING_SIDE
88,AllocRejCode,25,INCORRECT_OR_MISSING_NET_MONEY
88,AllocRejCode,26,INCORRECT_OR_MISSING_TRADE_DATE
88,AllocRejCode,27,INCORRECT_OR_MISSING_SETTL_CCY_INSTRUCTIONS
88,AllocRejCode,28,INCORRECT_OR_MISSING_PROCESS_CODE
88,AllocRejCode,99,OTHER
794,AllocReportType,2,PRELIMINARY_REQUEST_TO_INTERMEDIARY
794,AllocReportType,3,SELLSIDE_CALCULATED_USING_PRELIMINARY
794,AllocReportType,4,SELLSIDE_CALCULATED_WITHOUT_PRELIMINARY
794,AllocReportType,5,WAREHOUSE_RECAP
794,AllocReportType,8,REQUEST_TO_INTERMEDIARY
794,AllocReportType,9,ACCEPT
794,AllocReportType,10,REJECT
794,AllocReportType,11,ACCEPT_PENDING
794,AllocReportType,12,COMPLETE
794,AllocReportType,14,REVERSE_PENDING
794,AllocReportType,15,GIVEUP
794,AllocReportType,16,TAKEUP
794,AllocReportType,17,REVERSAL
794,AllocReportType,18,ALLEGED
794,AllocReportType,19,SUB_ALLOCATION_GIVEUP
2768,AllocRequestStatus,0,ACCEPTED
2768,AllocRequestStatus,1,REJECTED
1738,AllocReversalStatus,0,COMPLETED
1738,AllocReversalStatus,1,REFUSED
1738,AllocReversalStatus,2,CANCELLED
780,AllocSettlInstType,0,USE_DEFAULT_INSTRUCTIONS
780,AllocSettlInstType,1,DERIVE_FROM_PARAMETERS_PROVIDED
780,AllocSettlInstType,2,FULL_DETAILS_PROVIDED
780,AllocSettlInstType,3,SSIDBI_DS_PROVIDED
780,AllocSettlInstType,4,PHONE_FOR_INSTRUCTIONS
87,AllocStatus,0,ACCEPTED
87,AllocStatus,1,BLOCK_LEVEL_REJECT
87,AllocStatus,2,ACCOUNT_LEVEL_REJECT
87,AllocStatus,3,RECEIVED
87,AllocStatus,4,INCOMPLETE
87,AllocStatus,5,REJECTED_BY_INTERMEDIARY
87,AllocStatus,6,ALLOCATION_PENDING
87,AllocStatus,7,REVERSED
87,AllocStatus,8,CANCELLED_BY_INTERMEDIARY
87,AllocStatus,9,CLAIMED
87,AllocStatus,10,REFUSED
87,AllocStatus,11,PENDING_GIVE_UP_APPROVAL
87,AllocStatus,12,CANCELLED
87,AllocStatus,13,PENDING_TAKE_UP_APPROVAL
87,AllocStatus,14,REVERSAL_PENDING
71,AllocTransType,0,NEW
71,AllocTransType,1,REPLACE
71,AllocTransType,2,CANCEL
71,AllocTransType,3,PRELIMINARY
71,AllocTransType,4,CALCULATED
71,AllocTransType,5,CALCULATED_WITHOUT_PRELIMINARY
71,AllocTransType,6,REVERSAL
626,AllocType,1,CALCULATED
626,AllocType,2,PRELIMINARY
626,AllocType,3,SELLSIDE_CALCULATED_USING_PRELIMINARY
626,AllocType,4,SELLSIDE_CALCULATED_WITHOUT_PRELIMINARY
626,AllocType,5,READY_TO_BOOK
626,AllocType,6,BUYSIDE_READY_TO_BOOK
626,AllocType,7,WAREHOUSE_INSTRUCTION
626,AllocType,8,REQUEST_TO_INTERMEDIARY
626,AllocType,9,ACCEPT
626,AllocType,10,REJECT
626,AllocType,11,ACCEPT_PENDING
626,AllocType,12,INCOMPLETE_GROUP
626,AllocType,13,COMPLETE_GROUP
626,AllocType,14,REVERSAL_PENDING
626,AllocType,15,REOPEN_GROUP
626,AllocType,16,CANCEL_GROUP
