number,name,type,description
7,BeginSeqNo,SEQNUM,
8,BeginString,STRING,
9,BodyLength,LENGTH,
10,CheckSum,STRING,
16,EndSeqNo,SEQNUM,
34,MsgSeqNum,SEQNUM,
35,MsgType,STRING,
36,NewSeqNo,SEQNUM,
43,PossDupFlag,BOOLEAN,
45,RefSeqNum,SEQNUM,
49,SenderCompID,STRING,
50,SenderSubID,STRING,
52,SendingTime,UTCTIMESTAMP,
56,TargetCompID,STRING,
57,TargetSubID,STRING,
58,Text,STRING,
89,Signature,DATA,
90,SecureDataLen,LENGTH,
91,SecureData,DATA,
93,SignatureLength,LENGTH,
95,RawDataLength,LENGTH,
96,RawData,DATA,
97,PossResend,BOOLEAN,
98,EncryptMethod,INT,
108,HeartBtInt,INT,
112,TestReqID,STRING,
115,OnBehalfOfCompID,STRING,
116,OnBehalfOfSubID,STRING,
122,OrigSendingTime,UTCTIMESTAMP,
123,GapFillFlag,BOOLEAN,
128,DeliverToCompID,STRING,
129,DeliverToSubID,STRING,
141,ResetSeqNumFlag,BOOLEAN,
142,SenderLocationID,STRING,
143,TargetLocationID,STRING,
144,OnBehalfOfLocationID,STRING,
145,DeliverToLocationID,STRING,
212,XmlDataLen,LENGTH,
213,XmlData,DATA,
347,MessageEncoding,STRING,
354,EncodedTextLen,LENGTH,
355,EncodedText,DATA,
369,LastMsgSeqNumProcessed,SEQNUM,
371,RefTagID,INT,
372,RefMsgType,STRING,
373,SessionRejectReason,INT,
383,MaxMessageSize,LENGTH,
464,TestMessageIndicator,BOOLEAN,
553,Username,STRING,
554,Password,STRING,
627,NoHops,NUMINGROUP,
628,HopCompID,STRING,
629,HopSendingTime,UTCTIMESTAMP,
630,HopRefID,SEQNUM,
789,NextExpectedMsgSeqNum,SEQNUM,
925,NewPassword,STRING,
1128,ApplVerID,STRING,
1129,CstmApplVerID,STRING,
1130,RefApplVerID,STRING,
1131,RefCstmApplVerID,STRING,
1137,DefaultApplVerID,STRING,
1156,ApplExtID,INT,
1400,EncryptedPasswordMethod,INT,
1401,EncryptedPasswordLen,LENGTH,
1402,EncryptedPassword,DATA,
1403,EncryptedNewPasswordLen,LENGTH,
1404,EncryptedNewPassword,DATA,
1406,RefApplExtID,INT,
1407,DefaultApplExtID,INT,
1408,DefaultCstmApplVerID,STRING,
1409,SessionStatus,INT,
