message_name,msgtype,msgcat,field_number,field_name,field_type,required,position
Heartbeat,0,admin,8,BeginString,STRING,Y,1
Heartbeat,0,admin,9,BodyLength,LENGTH,Y,2
Heartbeat,0,admin,35,MsgType,STRING,Y,3
Heartbeat,0,admin,1128,ApplVerID,STRING,N,4
Heartbeat,0,admin,1156,ApplExtID,INT,N,5
Heartbeat,0,admin,1129,CstmApplVerID,STRING,N,6
Heartbeat,0,admin,49,SenderCompID,STRING,Y,7
Heartbeat,0,admin,56,TargetCompID,STRING,Y,8
Heartbeat,0,admin,115,OnBehalfOfCompID,STRING,N,9
Heartbeat,0,admin,128,DeliverToCompID,STRING,N,10
Heartbeat,0,admin,90,SecureDataLen,LENGTH,N,11
Heartbeat,0,admin,91,SecureData,DATA,N,12
Heartbeat,0,admin,34,MsgSeqNum,SEQNUM,Y,13
Heartbeat,0,admin,50,SenderSubID,STRING,N,14
Heartbeat,0,admin,142,SenderLocationID,STRING,N,15
Heartbeat,0,admin,57,TargetSubID,STRING,N,16
Heartbeat,0,admin,143,TargetLocationID,STRING,N,17
Heartbeat,0,admin,116,OnBehalfOfSubID,STRING,N,18
Heartbeat,0,admin,144,OnBehalfOfLocationID,STRING,N,19
Heartbeat,0,admin,129,DeliverToSubID,STRING,N,20
Heartbeat,0,admin,145,DeliverToLocationID,STRING,N,21
Heartbeat,0,admin,43,PossDupFlag,BOOLEAN,N,22
Heartbeat,0,admin,97,PossResend,BOOLEAN,N,23
Heartbeat,0,admin,52,SendingTime,UTCTIMESTAMP,Y,24
Heartbeat,0,admin,122,OrigSendingTime,UTCTIMESTAMP,N,25
Heartbeat,0,admin,212,XmlDataLen,LENGTH,N,26
Heartbeat,0,admin,213,XmlData,DATA,N,27
Heartbeat,0,admin,347,MessageEncoding,STRING,N,28
Heartbeat,0,admin,369,LastMsgSeqNumProcessed,SEQNUM,N,29
Heartbeat,0,admin,627,NoHops,GROUP,N,30
Heartbeat,0,admin,628,HopCompID,STRING,N,31
Heartbeat,0,admin,629,HopSendingTime,UTCTIMESTAMP,N,32
Heartbeat,0,admin,630,HopRefID,SEQNUM,N,33
Heartbeat,0,admin,112,TestReqID,STRING,N,34
Heartbeat,0,admin,93,SignatureLength,LENGTH,N,35
Heartbeat,0,admin,89,Signature,DATA,N,36
Heartbeat,0,admin,10,CheckSum,STRING,Y,37
Logon,A,admin,8,BeginString,STRING,Y,1
Logon,A,admin,9,BodyLength,LENGTH,Y,2
Logon,A,admin,35,MsgType,STRING,Y,3
Logon,A,admin,1128,ApplVerID,STRING,N,4
Logon,A,admin,1156,ApplExtID,INT,N,5
Logon,A,admin,1129,CstmApplVerID,STRING,N,6
Logon,A,admin,49,SenderCompID,STRING,Y,7
Logon,A,admin,56,TargetCompID,STRING,Y,8
Logon,A,admin,115,OnBehalfOfCompID,STRING,N,9
Logon,A,admin,128,DeliverToCompID,STRING,N,10
Logon,A,admin,90,SecureDataLen,LENGTH,N,11
Logon,A,admin,91,SecureData,DATA,N,12
Logon,A,admin,34,MsgSeqNum,SEQNUM,Y,13
Logon,A,admin,50,SenderSubID,STRING,N,14
Logon,A,admin,142,SenderLocationID,STRING,N,15
Logon,A,admin,57,TargetSubID,STRING,N,16
Logon,A,admin,143,TargetLocationID,STRING,N,17
Logon,A,admin,116,OnBehalfOfSubID,STRING,N,18
Logon,A,admin,144,OnBehalfOfLocationID,STRING,N,19
Logon,A,admin,129,DeliverToSubID,STRING,N,20
Logon,A,admin,145,DeliverToLocationID,STRING,N,21
Logon,A,admin,43,PossDupFlag,BOOLEAN,N,22
Logon,A,admin,97,PossResend,BOOLEAN,N,23
Logon,A,admin,52,SendingTime,UTCTIMESTAMP,Y,24
Logon,A,admin,122,OrigSendingTime,UTCTIMESTAMP,N,25
Logon,A,admin,212,XmlDataLen,LENGTH,N,26
Logon,A,admin,213,XmlData,DATA,N,27
Logon,A,admin,347,MessageEncoding,STRING,N,28
Logon,A,admin,369,LastMsgSeqNumProcessed,SEQNUM,N,29
Logon,A,admin,627,NoHops,GROUP,N,30
Logon,A,admin,628,HopCompID,STRING,N,31
Logon,A,admin,629,HopSendingTime,UTCTIMESTAMP,N,32
Logon,A,admin,630,HopRefID,SEQNUM,N,33
Logon,A,admin,98,EncryptMethod,INT,Y,34
Logon,A,admin,108,HeartBtInt,INT,Y,35
Logon,A,admin,95,RawDataLength,LENGTH,N,36
Logon,A,admin,96,RawData,DATA,N,37
Logon,A,admin,141,ResetSeqNumFlag,BOOLEAN,N,38
Logon,A,admin,789,NextExpectedMsgSeqNum,SEQNUM,N,39
Logon,A,admin,383,MaxMessageSize,LENGTH,N,40
Logon,A,admin,464,TestMessageIndicator,BOOLEAN,N,41
Logon,A,admin,553,Username,STRING,N,42
Logon,A,admin,554,Password,STRING,N,43
Logon,A,admin,925,NewPassword,STRING,N,44
Logon,A,admin,1400,EncryptedPasswordMethod,INT,N,45
